"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitudinal Acceleration"	"Latitude"	"GPS Lateral Acceleration"	"Heading"	"RPM"	"GPS Distance"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"Longitude"	"GPS Speed"	"Number of Satellites"	"Throttle Position"
2021-04-23	20:49:32	1	3000000000	1941084332	0.020000	40.583197	-0.102627	269.900000	0.000000	114.761588	-0.240930	0.160000	-112.377283	138.300000	14.000000	0.000000
2021-04-23	20:49:32	1	3100000000	2041084332	-0.040000	40.583197	-0.033962	269.800000	0.000000	118.590415	-0.354308	0.180000	-112.377328	137.300000	14.000000	0.000000
2021-04-23	20:49:32	1	3200000000	2141084332	-0.160000	40.583197	0.033591	269.800000	0.000000	122.379808	-0.566893	0.210000	-112.377372	135.800000	14.000000	0.000000
2021-04-23	20:49:32	1	3300000000	2241084332	-0.260000	40.583196	0.000000	269.900000	0.000000	126.105272	-0.722789	0.240000	-112.377416	133.300000	14.000000	0.000000
2021-04-23	20:49:32	1	3400000000	2341084332	-0.370000	40.583196	-0.064658	269.800000	0.000000	129.778796	-0.736961	0.300000	-112.377459	130.700000	14.000000	0.000000
2021-04-23	20:49:32	1	3500000000	2441084332	-0.430000	40.583196	-0.063372	269.700000	0.000000	133.374903	-0.694444	0.320000	-112.377501	128.100000	14.000000	0.000000
2021-04-23	20:49:32	1	3600000000	2541084332	-0.480000	40.583195	-0.062234	269.600000	0.000000	136.899073	-0.793651	0.340000	-112.377543	125.800000	14.000000	0.000000
2021-04-23	20:49:32	1	3700000000	2641084332	-0.530000	40.583195	-0.090903	269.500000	0.000000	140.338171	-0.850340	0.360000	-112.377583	122.500000	14.000000	0.000000
2021-04-23	20:49:32	1	3800000000	2741084332	-0.580000	40.583194	-0.088899	269.300000	0.000000	143.715632	-0.779478	0.370000	-112.377623	119.800000	14.000000	0.000000
2021-04-23	20:49:32	1	3900000000	2841084332	-0.610000	40.583193	0.000000	269.200000	0.000000	147.006338	-0.680272	0.390000	-112.377662	117.000000	14.000000	0.000000
2021-04-23	20:49:32	1	4000000000	2941084332	-0.640000	40.583193	0.056891	269.300000	0.000000	150.222655	-0.595238	0.390000	-112.377699	115.000000	14.000000	0.000000
2021-04-23	20:49:32	1	4100000000	3041084332	-0.640000	40.583192	-0.083705	269.400000	0.000000	153.390081	-0.722789	0.400000	-112.377736	112.800000	13.000000	0.000000
2021-04-23	20:49:32	1	4200000000	3141084332	-0.610000	40.583191	-0.190289	269.000000	0.000000	156.484604	-0.708617	0.400000	-112.377772	109.900000	13.000000	0.000000
2021-04-23	20:49:32	1	4300000000	3241084332	-0.560000	40.583190	-0.106659	268.700000	0.000000	159.511070	-0.510204	0.400000	-112.377807	107.800000	13.000000	0.000000
2021-04-23	20:49:32	1	4400000000	3341084332	-0.500000	40.583189	-0.131469	268.600000	0.000000	162.481181	-0.467687	0.380000	-112.377842	106.300000	13.000000	0.000000
2021-04-23	20:49:32	1	4500000000	3441084332	-0.450000	40.583188	-0.129242	268.200000	0.000000	165.416140	-0.410998	0.360000	-112.377876	104.500000	13.000000	0.000000
