"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitudinal Acceleration"	"Latitude"	"GPS Lateral Acceleration"	"Heading"	"RPM"	"GPS Distance"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"Longitude"	"GPS Speed"	"Number of Satellites"	"Throttle Position"
2021-04-23	21:49:33	0	0	0
2021-04-23	21:49:33	0	100000000	100000000	0.110000	40.583207	0.000000	269.900000	0.000000	3.850000	0.000000	0.000000	-112.375962	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	200000000	200000000	0.110000	40.583207	0.000000	269.900000	0.000000	7.700000	0.000000	0.000000	-112.376008	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	300000000	300000000	0.110000	40.583207	0.000000	269.900000	0.000000	11.550000	0.000000	0.000000	-112.376053	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	400000000	400000000	0.110000	40.583207	0.000000	269.900000	0.000000	15.400000	0.000000	0.000000	-112.376099	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	500000000	500000000	0.110000	40.583207	0.000000	269.900000	0.000000	19.250000	0.000000	0.000000	-112.376145	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	600000000	600000000	0.110000	40.583207	0.000000	269.900000	0.000000	23.100000	0.000000	0.000000	-112.376190	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	700000000	700000000	0.110000	40.583207	0.000000	269.900000	0.000000	26.950000	0.000000	0.000000	-112.376236	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	800000000	800000000	0.110000	40.583206	0.000000	269.900000	0.000000	30.800000	0.000000	0.000000	-112.376281	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	900000000	900000000	0.110000	40.583206	0.000000	269.900000	0.000000	34.650000	0.000000	0.000000	-112.376327	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	1000000000	1000000000	0.110000	40.583206	0.068567	269.900000	0.000000	38.501560	0.099206	0.000000	-112.376373	138.600000	15.000000	0.000000
2021-04-23	21:49:33	0	1051055155	1051055155
2021-04-23	21:49:33	1	1051055155	0
2021-04-23	21:49:33	1	1100000000	48944845	0.100000	40.583206	0.068913	270.100000	0.000000	42.362513	0.170068	-0.010000	-112.376418	139.300000	15.000000	0.000000
