"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"GPS Longitudinal Acceleration"	"Throttle Position"	"Longitudinal Acceleration"	"Latitude"	"GPS Lateral Acceleration"	"Longitude"	"Lateral Acceleration"	"GPS Distance"	"Number of Satellites"	"GPS Speed"	"RPM"	"Heading"
2021-05-21	14:41:00	0	3100000000	3100000000	0.226757	0.000000	0.200000	40.583283	0.000000	-112.382770	-0.050000	38.773194	18.000000	54.000000	0.000000	263.700000
2021-05-21	14:41:00	0	3200000000	3200000000	0.212585	0.000000	0.180000	40.583282	0.122218	-112.382788	-0.090000	40.285448	19.000000	54.900000	0.000000	264.000000
2021-05-21	14:41:00	0	3300000000	3300000000	0.155896	0.000000	0.220000	40.583280	0.041184	-112.382806	-0.070000	41.818022	19.000000	55.500000	0.000000	264.600000
2021-05-21	14:41:00	0	3400000000	3400000000	0.184240	0.000000	0.220000	40.583279	0.027704	-112.382824	-0.070000	43.368219	19.000000	56.000000	0.000000	264.300000
2021-05-21	14:41:00	0	3500000000	3500000000	0.269274	0.000000	0.210000	40.583278	0.028099	-112.382843	-0.080000	44.934694	19.000000	56.800000	0.000000	264.800000
2021-05-21	14:41:00	0	3600000000	3600000000	0.255102	0.000000	0.210000	40.583277	-0.071609	-112.382862	-0.070000	46.528977	19.000000	57.900000	0.000000	264.500000
2021-05-21	14:41:00	0	3700000000	3700000000	0.226757	0.000000	0.210000	40.583275	0.014495	-112.382881	-0.070000	48.145091	19.000000	58.600000	0.000000	264.300000
2021-05-21	14:41:00	0	3800000000	3800000000	0.212585	0.000000	0.210000	40.583274	0.088305	-112.382900	-0.050000	49.786736	19.000000	59.500000	0.000000	264.600000
2021-05-21	14:41:00	0	3900000000	3900000000	0.212585	0.000000	0.220000	40.583273	0.089196	-112.382920	-0.040000	51.446561	19.000000	60.100000	0.000000	264.900000
2021-05-21	14:41:00	0	4000000000	4000000000	0.212585	0.000000	0.220000	40.583272	0.060354	-112.382939	-0.070000	53.128559	19.000000	61.000000	0.000000	265.200000
2021-05-21	14:41:00	0	4100000000	4100000000	0.269274	0.000000	0.210000	40.583270	0.000000	-112.382959	-0.080000	54.832323	19.000000	61.600000	0.000000	265.300000
2021-05-21	14:41:00	0	4200000000	4200000000	0.283447	0.000000	0.230000	40.583269	0.062234	-112.382980	-0.060000	56.561586	19.000000	62.900000	0.000000	265.200000
2021-05-21	14:41:00	0	4300000000	4300000000	0.212585	0.000000	0.220000	40.583268	0.031463	-112.383001	-0.070000	58.318660	19.000000	63.600000	0.000000	265.700000
2021-05-21	14:41:00	0	4400000000	4400000000	0.269274	0.000000	0.240000	40.583267	-0.111507	-112.383022	-0.060000	60.095599	19.000000	64.400000	0.000000	265.400000
2021-05-21	14:41:00	0	4500000000	4500000000	0.226757	0.000000	0.250000	40.583265	-0.064807	-112.383043	-0.020000	61.900359	19.000000	65.500000	0.000000	265.000000
2021-05-21	14:41:00	0	4600000000	4600000000	0.212585	0.000000	0.240000	40.583264	-0.016325	-112.383065	-0.030000	63.725200	19.000000	66.000000	0.000000	265.000000
2021-05-21	14:41:00	0	4700000000	4700000000	0.212585	0.000000	0.260000	40.583263	-0.082864	-112.383087	-0.010000	65.573934	19.000000	67.000000	0.000000	264.900000
2021-05-21	14:41:00	0	4800000000	4800000000	0.255102	0.000000	0.260000	40.583261	0.000000	-112.383109	-0.010000	67.441472	19.000000	67.500000	0.000000	264.500000
2021-05-21	14:41:00	0	4900000000	4900000000	0.311791	0.000000	0.250000	40.583259	0.085090	-112.383131	-0.010000	69.335352	19.000000	68.800000	0.000000	264.900000
2021-05-21	14:41:00	0	5000000000	5000000000	0.240930	0.000000	0.270000	40.583258	0.068962	-112.383154	-0.020000	71.257731	19.000000	69.700000	0.000000	265.000000
2021-05-21	14:41:00	0	5100000000	5100000000	0.212585	0.000000	0.290000	40.583256	0.069754	-112.383177	-0.040000	73.204550	18.000000	70.500000	0.000000	265.300000
2021-05-21	14:41:00	0	5200000000	5200000000	0.198413	0.000000	0.330000	40.583255	0.052835	-112.383200	0.000000	75.173630	18.000000	71.200000	0.000000	265.400000
2021-05-21	14:41:00	0	5300000000	5300000000	0.297619	0.000000	0.320000	40.583253	0.053354	-112.383224	0.010000	77.160951	18.000000	71.900000	0.000000	265.600000
2021-05-21	14:41:00	0	5400000000	5400000000	0.325964	0.000000	0.360000	40.583252	0.000000	-112.383248	0.020000	79.179949	18.000000	73.300000	0.000000	265.700000
2021-05-21	14:41:00	0	5500000000	5500000000	0.198413	0.000000	0.370000	40.583250	0.000000	-112.383272	0.020000	81.224579	17.000000	74.200000	0.000000	265.600000
2021-05-21	14:41:00	0	5600000000	5600000000	0.184240	0.000000	0.320000	40.583249	0.092387	-112.383296	0.030000	83.293924	18.000000	74.700000	0.000000	265.700000
2021-05-21	14:41:00	0	5700000000	5700000000	0.297619	0.000000	0.320000	40.583248	0.056026	-112.383321	0.030000	85.380717	19.000000	75.500000	0.000000	266.100000
2021-05-21	14:41:00	0	5800000000	5800000000	0.311791	0.000000	0.310000	40.583246	-0.018997	-112.383346	0.020000	87.496257	18.000000	76.800000	0.000000	266.000000
2021-05-21	14:41:00	0	5900000000	5900000000	0.212585	0.000000	0.310000	40.583245	0.019219	-112.383372	0.010000	89.640365	19.000000	77.700000	0.000000	266.000000
2021-05-21	14:41:00	0	6000000000	6000000000	0.184240	0.000000	0.300000	40.583244	0.019368	-112.383397	-0.020000	91.806647	19.000000	78.300000	0.000000	266.100000
2021-05-21	14:41:00	0	6100000000	6100000000	0.226757	0.000000	0.320000	40.583242	0.019541	-112.383423	-0.010000	93.993490	19.000000	79.000000	0.000000	266.100000
2021-05-21	14:41:00	0	6200000000	6200000000	0.269274	0.000000	0.310000	40.583241	0.039527	-112.383449	-0.020000	96.199319	19.000000	79.900000	0.000000	266.200000
2021-05-21	14:41:00	0	6300000000	6300000000	0.212585	0.000000	0.310000	40.583240	0.100055	-112.383476	-0.040000	98.432934	19.000000	80.900000	0.000000	266.300000
2021-05-21	14:41:00	0	6400000000	6400000000	0.198413	0.000000	0.310000	40.583238	0.040269	-112.383503	-0.070000	100.685635	19.000000	81.400000	0.000000	266.700000
2021-05-21	14:41:00	0	6500000000	6500000000	0.297619	0.000000	0.280000	40.583237	-0.040714	-112.383530	-0.070000	102.962937	19.000000	82.300000	0.000000	266.500000
2021-05-21	14:41:00	0	6600000000	6600000000	0.240930	0.000000	0.290000	40.583236	0.020654	-112.383557	-0.040000	105.262786	19.000000	83.500000	0.000000	266.500000
2021-05-21	14:41:00	0	6700000000	6700000000	0.226757	0.000000	0.290000	40.583235	0.041555	-112.383585	-0.040000	107.588977	19.000000	84.000000	0.000000	266.600000
2021-05-21	14:41:00	0	6800000000	6800000000	0.283447	0.000000	0.300000	40.583233	0.000000	-112.383613	-0.020000	109.938575	19.000000	85.100000	0.000000	266.700000
2021-05-21	14:41:00	0	6900000000	6900000000	0.240930	0.000000	0.290000	40.583232	0.042545	-112.383641	-0.030000	112.314374	19.000000	86.000000	0.000000	266.600000
2021-05-21	14:41:00	0	7000000000	7000000000	0.240930	0.000000	0.280000	40.583231	0.085881	-112.383670	-0.030000	114.715887	19.000000	86.800000	0.000000	266.900000
2021-05-21	14:41:00	0	7100000000	7100000000	0.212585	0.000000	0.260000	40.583229	0.021693	-112.383698	-0.040000	117.137292	18.000000	87.700000	0.000000	267.000000
2021-05-21	14:41:00	0	7200000000	7200000000	0.255102	0.000000	0.250000	40.583228	0.021841	-112.383727	-0.050000	119.583914	19.000000	88.300000	0.000000	267.000000
2021-05-21	14:41:00	0	7300000000	7300000000	0.226757	0.000000	0.280000	40.583227	0.044276	-112.383757	-0.030000	122.051437	18.000000	89.500000	0.000000	267.100000
2021-05-21	14:41:00	0	7400000000	7400000000	0.184240	0.000000	0.270000	40.583226	-0.022237	-112.383786	-0.020000	124.544056	18.000000	89.900000	0.000000	267.200000
2021-05-21	14:41:00	0	7500000000	7500000000	0.255102	0.000000	0.230000	40.583225	0.022460	-112.383816	-0.030000	127.053692	18.000000	90.800000	0.000000	267.000000
2021-05-21	14:41:00	0	7600000000	7600000000	0.170068	0.000000	0.250000	40.583224	0.022682	-112.383846	-0.040000	129.587358	18.000000	91.700000	0.000000	267.300000
2021-05-21	14:41:00	0	7700000000	7700000000	0.070862	0.000000	0.230000	40.583223	-0.068270	-112.383876	0.000000	132.137021	18.000000	92.000000	0.000000	267.100000
2021-05-21	14:41:00	0	7800000000	7800000000	-0.042517	0.000000	0.180000	40.583222	-0.068418	-112.383907	0.050000	134.693851	18.000000	92.200000	0.000000	267.000000
2021-05-21	14:41:00	0	7900000000	7900000000	-0.042517	0.000000	0.120000	40.583220	0.022682	-112.383937	0.050000	137.247585	18.000000	91.700000	0.000000	266.800000
2021-05-21	14:41:00	0	8000000000	8000000000	0.000000	0.000000	0.080000	40.583219	0.068196	-112.383967	0.040000	139.798649	18.000000	91.900000	0.000000	267.100000
2021-05-21	14:41:00	0	8100000000	8100000000	-0.056689	0.000000	0.070000	40.583218	0.000000	-112.383997	0.000000	142.347391	18.000000	91.700000	0.000000	267.100000
2021-05-21	14:41:00	0	8200000000	8200000000	-0.056689	0.000000	0.050000	40.583217	0.067899	-112.384027	0.030000	144.892161	18.000000	91.500000	0.000000	267.100000
2021-05-21	14:41:00	0	8300000000	8300000000	-0.014172	0.000000	0.040000	40.583216	0.067750	-112.384056	0.030000	147.431586	18.000000	91.300000	0.000000	267.400000
2021-05-21	14:41:00	0	8400000000	8400000000	0.113379	0.000000	0.050000	40.583215	0.045216	-112.384086	-0.010000	149.971273	18.000000	91.400000	0.000000	267.400000
2021-05-21	14:41:00	0	8500000000	8500000000	0.198413	0.000000	0.070000	40.583214	0.000000	-112.384116	-0.040000	152.521038	18.000000	92.100000	0.000000	267.600000
2021-05-21	14:41:00	0	8600000000	8600000000	0.113379	0.000000	0.110000	40.583213	0.000000	-112.384147	-0.050000	155.087615	18.000000	92.800000	0.000000	267.400000
2021-05-21	14:41:00	0	8700000000	8700000000	0.141723	0.000000	0.130000	40.583212	0.068938	-112.384177	-0.040000	157.667183	18.000000	92.900000	0.000000	267.600000
2021-05-21	14:41:00	0	8800000000	8800000000	0.212585	0.000000	0.120000	40.583211	0.046404	-112.384208	-0.030000	160.262866	18.000000	93.800000	0.000000	267.700000
2021-05-21	14:41:00	0	8900000000	8900000000	0.141723	0.000000	0.140000	40.583210	0.046700	-112.384239	-0.040000	162.874099	18.000000	94.400000	0.000000	267.800000
2021-05-21	14:41:00	0	9000000000	9000000000	0.070862	0.000000	0.140000	40.583209	0.070347	-112.384269	-0.050000	165.501113	18.000000	94.800000	0.000000	267.900000
2021-05-21	14:41:00	0	9100000000	9100000000	0.141723	0.000000	0.170000	40.583208	0.046948	-112.384300	-0.060000	168.136587	18.000000	94.900000	0.000000	268.100000
2021-05-21	14:41:00	0	9200000000	9200000000	0.240930	0.000000	0.160000	40.583207	0.000000	-112.384332	-0.030000	170.788362	18.000000	95.800000	0.000000	268.100000
2021-05-21	14:41:00	0	9300000000	9300000000	0.184240	0.000000	0.180000	40.583206	0.000000	-112.384363	-0.040000	173.458109	18.000000	96.600000	0.000000	268.100000
2021-05-21	14:41:00	0	9400000000	9400000000	0.184240	0.000000	0.180000	40.583205	0.024018	-112.384395	-0.030000	176.148392	19.000000	97.100000	0.000000	268.100000
2021-05-21	14:41:00	0	9500000000	9500000000	0.170068	0.000000	0.180000	40.583205	0.000000	-112.384427	-0.040000	178.856479	19.000000	97.900000	0.000000	268.200000
2021-05-21	14:41:00	0	9600000000	9600000000	0.113379	0.000000	0.170000	40.583204	0.024315	-112.384459	-0.020000	181.580733	19.000000	98.300000	0.000000	268.100000
2021-05-21	14:41:00	0	9700000000	9700000000	0.113379	0.000000	0.190000	40.583203	0.024414	-112.384491	0.000000	184.317567	18.000000	98.700000	0.000000	268.300000
2021-05-21	14:41:00	0	9800000000	9800000000	0.113379	0.000000	0.180000	40.583202	0.000000	-112.384524	-0.020000	187.063921	19.000000	99.100000	0.000000	268.200000
2021-05-21	14:41:00	0	9900000000	9900000000	0.085034	0.000000	0.160000	40.583201	-0.049223	-112.384556	-0.030000	189.822273	19.000000	99.500000	0.000000	268.300000
2021-05-21	14:41:00	0	10000000000	10000000000	0.155896	0.000000	0.150000	40.583200	0.049322	-112.384589	-0.030000	192.589612	19.000000	99.700000	0.000000	268.000000
2021-05-21	14:41:00	0	10100000000	10100000000	0.113379	0.000000	0.140000	40.583200	0.124419	-112.384622	-0.040000	195.371617	19.000000	100.600000	0.000000	268.500000
2021-05-21	14:41:00	0	10200000000	10200000000	0.042517	0.000000	0.130000	40.583199	-0.024859	-112.384655	-0.040000	198.162978	19.000000	100.500000	0.000000	268.500000
2021-05-21	14:41:00	0	10300000000	10300000000	0.028345	0.000000	0.130000	40.583198	0.024958	-112.384688	-0.030000	200.960061	19.000000	100.900000	0.000000	268.400000
2021-05-21	14:41:00	0	10400000000	10400000000	-0.070862	0.000000	0.080000	40.583198	0.149451	-112.384721	-0.040000	203.758335	18.000000	100.700000	0.000000	268.600000
2021-05-21	14:41:00	0	10500000000	10500000000	-0.099206	0.000000	0.050000	40.583198	0.124172	-112.384754	-0.060000	206.551033	17.000000	100.400000	0.000000	269.000000
2021-05-21	14:41:00	0	10600000000	10600000000	-0.056689	0.000000	0.010000	40.583198	0.049471	-112.384787	-0.070000	209.334635	17.000000	100.000000	0.000000	269.100000
2021-05-21	14:41:00	0	10700000000	10700000000	-0.085034	0.000000	0.010000	40.583197	0.123677	-112.384820	-0.050000	212.112557	17.000000	100.000000	0.000000	269.200000
2021-05-21	14:41:00	0	10800000000	10800000000	-0.184240	0.000000	-0.030000	40.583197	0.049174	-112.384853	-0.050000	214.879309	17.000000	99.400000	0.000000	269.600000
2021-05-21	14:41:00	0	10900000000	10900000000	-0.184240	0.000000	-0.070000	40.583197	-0.097655	-112.384886	-0.070000	217.631755	17.000000	98.700000	0.000000	269.400000
2021-05-21	14:41:00	0	11000000000	11000000000	-0.155896	0.000000	-0.070000	40.583196	-0.097062	-112.384918	-0.040000	220.364301	17.000000	98.100000	0.000000	269.200000
2021-05-21	14:41:00	0	11100000000	11100000000	-0.127551	0.000000	-0.100000	40.583196	-0.048284	-112.384950	-0.070000	223.083808	17.000000	97.600000	0.000000	269.000000
2021-05-21	14:41:00	0	11200000000	11200000000	-0.127551	0.000000	-0.110000	40.583196	0.000000	-112.384983	-0.050000	225.789352	17.000000	97.200000	0.000000	269.000000
2021-05-21	14:41:00	0	11300000000	11300000000	-0.113379	0.000000	-0.110000	40.583195	0.047838	-112.385014	-0.060000	228.482655	17.000000	96.700000	0.000000	269.000000
2021-05-21	14:41:00	0	11400000000	11400000000	-0.113379	0.000000	-0.130000	40.583195	0.023845	-112.385046	-0.060000	231.164601	17.000000	96.400000	0.000000	269.200000
2021-05-21	14:41:00	0	11500000000	11500000000	-0.113379	0.000000	-0.110000	40.583195	-0.047443	-112.385078	-0.050000	233.834666	18.000000	95.900000	0.000000	269.100000
2021-05-21	14:41:00	0	11600000000	11600000000	-0.127551	0.000000	-0.130000	40.583195	0.047294	-112.385109	-0.070000	236.495111	18.000000	95.600000	0.000000	269.000000
2021-05-21	14:41:00	0	11700000000	11700000000	-0.085034	0.000000	-0.110000	40.583195	0.140992	-112.385140	-0.060000	239.142555	18.000000	95.000000	0.000000	269.300000
2021-05-21	14:41:00	0	11800000000	11800000000	-0.056689	0.000000	-0.120000	40.583194	0.070496	-112.385172	-0.070000	241.782410	18.000000	95.000000	0.000000	269.600000
2021-05-21	14:41:00	0	11900000000	11900000000	-0.113379	0.000000	-0.110000	40.583194	0.023400	-112.385203	-0.070000	244.414108	18.000000	94.600000	0.000000	269.600000
2021-05-21	14:41:00	0	12000000000	12000000000	-0.127551	0.000000	-0.120000	40.583194	0.000000	-112.385234	-0.080000	247.036812	18.000000	94.200000	0.000000	269.700000
