"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"GPS Longitudinal Acceleration"	"RPM"	"Longitudinal Acceleration"	"Heading"	"Latitude"	"GPS Lateral Acceleration"	"Lateral Acceleration"	"Number of Satellites"	"Longitude"	"GPS Distance"	"Throttle Position"	"GPS Speed"
2021-05-21	19:44:00	1	3100000000	2092742438	0.198413	0.000000	0.230000	263.100000	40.583237	0.027159	0.040000	16.000000	-112.382767	38.853687	0.000000	54.900000
2021-05-21	19:44:00	1	3200000000	2192742438	0.240930	0.000000	0.220000	263.400000	40.583235	0.055012	0.020000	16.000000	-112.382785	40.387281	0.000000	55.600000
2021-05-21	19:44:00	1	3300000000	2292742438	0.297619	0.000000	0.250000	263.500000	40.583233	0.000000	0.000000	16.000000	-112.382804	41.946192	0.000000	56.600000
2021-05-21	19:44:00	1	3400000000	2392742438	0.255102	0.000000	0.250000	263.400000	40.583231	0.000000	-0.030000	16.000000	-112.382823	43.533136	0.000000	57.700000
2021-05-21	19:44:00	1	3500000000	2492742438	0.141723	0.000000	0.240000	263.500000	40.583229	0.115564	-0.030000	16.000000	-112.382842	45.145438	0.000000	58.400000
2021-05-21	19:44:00	1	3600000000	2592742438	0.113379	0.000000	0.240000	264.200000	40.583228	0.087118	-0.030000	16.000000	-112.382860	46.770073	0.000000	58.700000
2021-05-21	19:44:00	1	3700000000	2692742438	0.311791	0.000000	0.250000	264.100000	40.583226	-0.029287	-0.030000	16.000000	-112.382880	48.411028	0.000000	59.200000
2021-05-21	19:44:00	1	3800000000	2792742438	0.325964	0.000000	0.240000	264.000000	40.583225	0.000000	-0.030000	16.000000	-112.382899	50.079533	0.000000	60.900000
2021-05-21	19:44:00	1	3900000000	2892742438	0.255102	0.000000	0.240000	264.100000	40.583223	-0.015212	-0.030000	16.000000	-112.382919	51.781415	0.000000	61.500000
2021-05-21	19:44:00	1	4000000000	2992742438	0.255102	0.000000	0.260000	263.900000	40.583221	0.000000	-0.030000	16.000000	-112.382940	53.503318	0.000000	62.700000
2021-05-21	19:44:00	1	4100000000	3092742438	0.255102	0.000000	0.250000	264.100000	40.583220	0.046973	-0.040000	16.000000	-112.382960	55.253241	0.000000	63.300000
2021-05-21	19:44:00	1	4200000000	3192742438	0.354308	0.000000	0.260000	264.200000	40.583218	0.031909	-0.050000	16.000000	-112.382981	57.030013	0.000000	64.500000
