"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"Lateral Acceleration"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"
2021-05-21	13:43:39	0	4000000000	4000000000	-112.384346	142.638217	0.003779	0.010694	0.694358	40.583154	0.098161	134.697664
2021-05-21	13:43:39	0	4100000000	4100000000	-112.384430	146.390578	0.010590	0.033319	0.674465	40.583153	0.098772	135.385678
2021-05-21	13:43:39	0	4200000000	4200000000	-112.384519	150.160530	0.025259	0.044396	0.677370	40.583153	0.105031	136.085676
2021-05-21	13:43:39	0	4300000000	4300000000	-112.384590	153.947038	0.032431	0.038367	0.681210	40.583152	0.115152	136.589675
2021-05-21	13:43:39	0	4400000000	4400000000	-112.384635	157.746579	0.038511	0.028871	0.673610	40.583152	0.120352	136.991654
2021-05-21	13:43:39	0	4500000000	4500000000	-112.384680	161.557462	0.047274	0.017437	0.682193	40.583152	0.120454	137.391668
2021-05-21	13:43:39	0	4600000000	4600000000	-112.384726	165.379461	0.043431	0.005965	0.704890	40.583152	0.112959	137.791659
2021-05-21	13:43:39	0	4700000000	4700000000	-112.384771	169.212570	0.018994	-0.004257	0.707353	40.583152	0.093444	138.191649
2021-05-21	13:43:39	0	4800000000	4800000000	-112.384817	173.056271	-0.012482	-0.010707	0.688442	40.583152	0.068691	138.591663
2021-05-21	13:43:39	0	4900000000	4900000000	-112.384863	176.908478	-0.032431	-0.013957	0.675034	40.583151	0.043835	138.795653
2021-05-21	13:43:39	0	5000000000	5000000000	-112.384908	180.766687	-0.038396	-0.017144	0.671325	40.583151	0.018980	138.995656
2021-05-21	13:43:39	0	5100000000	5100000000	-112.384954	184.630460	-0.035464	-0.018457	0.669199	40.583151	-0.013371	139.195656
2021-05-21	13:43:39	0	5200000000	5200000000	-112.384999	188.498749	-0.018664	-0.019107	0.673624	40.583151	-0.046499	139.395670
2021-05-21	13:43:39	0	5300000000	5300000000	-112.385045	192.366604	0.004382	-0.017870	0.669131	40.583150	-0.094630	139.203661
2021-05-21	13:43:39	0	5400000000	5400000000	-112.385090	196.225627	0.002516	-0.014097	0.621141	40.583150	-0.163677	138.709645
2021-05-21	13:43:39	0	5500000000	5500000000	-112.385135	200.068843	-0.027443	-0.007775	0.533755	40.583150	-0.233145	138.111668
2021-05-21	13:43:39	0	5600000000	5600000000	-112.385180	203.888335	-0.043953	-0.001402	0.426907	40.583150	-0.301364	137.021662
2021-05-21	13:43:39	0	5700000000	5700000000	-112.385224	207.673962	-0.025802	0.003098	0.291187	40.583149	-0.362063	135.627671
2021-05-21	13:43:39	0	5800000000	5800000000	-112.385268	211.419042	0.003035	0.003187	0.147527	40.583149	-0.411366	134.031666
2021-05-21	13:43:39	0	5900000000	5900000000	-112.385311	215.120658	0.022369	0.000064	0.072700	40.583149	-0.446699	132.529675
2021-05-21	13:43:39	0	6000000000	6000000000	-112.385353	218.777004	0.030685	-0.006870	0.097214	40.583148	-0.467387	130.735681
2021-05-21	13:43:39	0	6100000000	6100000000	-112.385395	222.386619	0.021405	-0.015754	0.151168	40.583148	-0.477788	129.131683
2021-05-21	13:43:39	0	6200000000	6200000000	-112.385437	225.951095	-0.008063	-0.024052	0.160581	40.583148	-0.484238	127.531686
2021-05-21	13:43:39	0	6300000000	6300000000	-112.385477	229.469815	-0.039479	-0.031088	0.140514	40.583147	-0.489986	125.833698
2021-05-21	13:43:39	0	6400000000	6400000000	-112.385518	232.941536	-0.054991	-0.036850	0.131981	40.583147	-0.498845	124.133694
2021-05-21	13:43:39	0	6500000000	6500000000	-112.385557	236.365518	-0.058051	-0.043210	0.111960	40.583147	-0.510890	122.433703
2021-05-21	13:43:39	0	6600000000	6600000000	-112.385596	239.739671	-0.057923	-0.053331	0.062342	40.583146	-0.527372	120.537702
2021-05-21	13:43:39	0	6700000000	6700000000	-112.385635	243.061491	-0.052741	-0.069774	0.035662	40.583146	-0.545816	118.637711
2021-05-21	13:43:39	0	6800000000	6800000000	-112.385672	246.330281	-0.038518	-0.095713	0.051844	40.583145	-0.563049	116.737719
2021-05-21	13:43:39	0	6900000000	6900000000	-112.385709	249.544730	-0.023382	-0.130587	0.054991	40.583145	-0.577134	114.739722
2021-05-21	13:43:39	0	7000000000	7000000000	-112.385746	252.702802	-0.031684	-0.177507	0.025677	40.583144	-0.585534	112.641730
2021-05-21	13:43:39	0	7100000000	7100000000	-112.385781	255.803550	-0.091128	-0.235911	0.002715	40.583143	-0.583201	110.639730
2021-05-21	13:43:39	0	7200000000	7200000000	-112.385816	258.846233	-0.197004	-0.301415	0.000624	40.583141	-0.568160	108.443746
2021-05-21	13:43:39	0	7300000000	7300000000	-112.385850	261.830543	-0.297529	-0.372585	0.002759	40.583140	-0.540035	106.362735
2021-05-21	13:43:39	0	7400000000	7400000000	-112.385884	264.760187	-0.352375	-0.448312	-0.001264	40.583138	-0.497137	104.553739
2021-05-21	13:43:39	0	7500000000	7500000000	-112.385917	267.639415	-0.378227	-0.526008	-0.003434	40.583135	-0.438344	102.656749
2021-05-21	13:43:39	0	7600000000	7600000000	-112.385949	270.474351	-0.422046	-0.603143	0.033368	40.583132	-0.366709	101.338754
2021-05-21	13:43:39	0	7700000000	7700000000	-112.385982	273.275127	-0.504441	-0.676550	0.150175	40.583129	-0.289128	100.232756
2021-05-21	13:43:39	0	7800000000	7800000000	-112.386014	276.049234	-0.620045	-0.744278	0.325394	40.583124	-0.211374	99.423752
2021-05-21	13:43:39	0	7900000000	7900000000	-112.386046	278.804145	-0.747863	-0.804416	0.468397	40.583119	-0.139185	98.817757
2021-05-21	13:43:39	0	8000000000	8000000000	-112.386077	281.547716	-0.848804	-0.853196	0.515511	40.583113	-0.078913	98.654259
2021-05-21	13:43:39	0	8100000000	8100000000	-112.386108	284.286566	-0.898142	-0.889269	0.508685	40.583107	-0.035078	98.504256
2021-05-21	13:43:39	0	8200000000	8200000000	-112.386139	287.023807	-0.915767	-0.915686	0.534566	40.583099	-0.004104	98.548262
2021-05-21	13:43:39	0	8300000000	8300000000	-112.386170	289.761967	-0.929305	-0.933779	0.604655	40.583091	0.015360	98.598264
2021-05-21	13:43:39	0	8400000000	8400000000	-112.386200	292.501503	-0.933597	-0.944824	0.653992	40.583082	0.025824	98.648261
2021-05-21	13:43:39	0	8500000000	8500000000	-112.386230	295.242558	-0.924724	-0.951331	0.646910	40.583072	0.028603	98.698265
2021-05-21	13:43:39	0	8600000000	8600000000	-112.386260	297.985648	-0.928295	-0.955232	0.621516	40.583061	0.028061	98.796761
2021-05-21	13:43:39	0	8700000000	8700000000	-112.386289	300.731398	-0.947972	-0.958438	0.623458	40.583050	0.027424	98.896756
2021-05-21	13:43:39	0	8800000000	8800000000	-112.386317	303.479794	-0.956023	-0.961624	0.644670	40.583038	0.026787	98.996756
2021-05-21	13:43:39	0	8900000000	8900000000	-112.386345	306.230321	-0.961713	-0.964192	0.654864	40.583025	0.026768	99.048258
2021-05-21	13:43:39	0	9000000000	9000000000	-112.386372	308.982484	-0.986696	-0.966742	0.656345	40.583012	0.027386	99.098255
2021-05-21	13:43:39	0	9100000000	9100000000	-112.386399	311.736685	-0.995383	-0.969291	0.662735	40.582998	0.027405	99.196758
2021-05-21	13:43:39	0	9200000000	9200000000	-112.386425	314.493546	-0.961827	-0.971840	0.663306	40.582983	0.026169	99.296758
2021-05-21	13:43:39	0	9300000000	9300000000	-112.386451	317.253182	-0.931855	-0.975008	0.653323	40.582967	0.024276	99.396752
2021-05-21	13:43:39	0	9400000000	9400000000	-112.386476	320.015596	-0.939425	-0.978195	0.652654	40.582951	0.020509	99.496753
2021-05-21	13:43:39	0	9500000000	9500000000	-112.386500	322.780788	-0.956165	-0.983236	0.667553	40.582934	0.016067	99.596753
2021-05-21	13:43:39	0	9600000000	9600000000	-112.386523	325.548551	-0.961486	-0.989571	0.675839	40.582917	0.012224	99.696761
2021-05-21	13:43:39	0	9700000000	9700000000	-112.386545	328.318058	-0.972099	-0.996562	0.665125	40.582899	0.009636	99.719163
2021-05-21	13:43:39	0	9800000000	9800000000	-112.386567	331.088309	-0.986007	-1.002954	0.647889	40.582880	0.008942	99.739157
2021-05-21	13:43:39	0	9900000000	9900000000	-112.386588	333.859120	-0.985391	-1.009328	0.630413	40.582861	0.010777	99.759158
2021-05-21	13:43:39	0	10000000000	10000000000	-112.386608	336.630486	-0.992177	-1.014464	0.616512	40.582841	0.015780	99.779154
2021-05-21	13:43:39	0	10100000000	10100000000	-112.386627	339.402614	-1.023800	-1.017709	0.625630	40.582821	0.023352	99.799155
2021-05-21	13:43:39	0	10200000000	10200000000	-112.386645	342.176332	-1.038424	-1.018422	0.651120	40.582800	0.031618	99.896755
2021-05-21	13:43:39	0	10300000000	10300000000	-112.386663	344.952898	-1.013963	-1.017205	0.662474	40.582779	0.039903	99.996750
2021-05-21	13:43:39	0	10400000000	10400000000	-112.386679	347.733529	-0.994012	-1.014694	0.670467	40.582757	0.048188	100.193760
2021-05-21	13:43:39	0	10500000000	10500000000	-112.386694	350.519482	-1.004755	-1.009672	0.698121	40.582735	0.054000	100.393756
2021-05-21	13:43:39	0	10600000000	10600000000	-112.386709	353.310984	-1.021537	-1.004573	0.721353	40.582712	0.058500	100.593750
2021-05-21	13:43:39	0	10700000000	10700000000	-112.386722	356.108300	-1.025060	-1.000711	0.714582	40.582689	0.061107	100.793758
2021-05-21	13:43:39	0	10800000000	10800000000	-112.386734	358.912206	-1.021102	-0.998124	0.697333	40.582666	0.062420	101.090752
2021-05-21	13:43:39	0	10900000000	10900000000	-112.386746	361.722918	-1.014693	-0.998047	0.700231	40.582642	0.064312	101.293754
2021-05-21	13:43:39	0	11000000000	11000000000	-112.386756	364.539414	-1.005984	-0.999902	0.719117	40.582618	0.066843	101.493756
2021-05-21	13:43:39	0	11100000000	11100000000	-112.386765	367.361730	-1.003030	-1.003050	0.723300	40.582593	0.071246	101.693757
2021-05-21	13:43:39	0	11200000000	11200000000	-112.386773	370.190895	-1.013229	-1.006855	0.705798	40.582568	0.077562	101.990749
2021-05-21	13:43:39	0	11300000000	11300000000	-112.386780	373.028158	-1.031946	-1.008824	0.692245	40.582543	0.085790	102.290751
2021-05-21	13:43:39	0	11400000000	11400000000	-112.386786	375.873748	-1.049027	-1.008882	0.698539	40.582518	0.094694	102.590747
2021-05-21	13:43:39	0	11500000000	11500000000	-112.386791	378.727931	-1.049716	-1.005790	0.718927	40.582492	0.103616	102.890749
2021-05-21	13:43:39	0	11600000000	11600000000	-112.386794	381.591739	-1.024747	-0.999513	0.741729	40.582466	0.111302	103.287749
2021-05-21	13:43:39	0	11700000000	11700000000	-112.386797	384.466682	-0.993916	-0.992522	0.757583	40.582440	0.117714	103.687750
2021-05-21	13:43:39	0	11800000000	11800000000	-112.386798	387.353766	-0.980702	-0.984893	0.765981	40.582414	0.122232	104.184738
2021-05-21	13:43:39	0	11900000000	11900000000	-112.386799	390.253468	-0.973755	-0.977245	0.766513	40.582388	0.125457	104.587749
2021-05-21	13:43:39	0	12000000000	12000000000	-112.386798	393.165535	-0.963479	-0.970833	0.755931	40.582362	0.128026	105.084738
2021-05-21	13:43:39	0	12100000000	12100000000	-112.386796	396.090183	-0.964737	-0.964524	0.748484	40.582335	0.128714	105.483746
2021-05-21	13:43:39	0	12200000000	12200000000	-112.386793	399.027147	-0.967582	-0.958763	0.760966	40.582309	0.128127	105.979740
2021-05-21	13:43:39	0	12300000000	12300000000	-112.386789	401.976724	-0.947755	-0.953027	0.780841	40.582282	0.127490	106.383744
2021-05-21	13:43:39	0	12400000000	12400000000	-112.386784	404.938679	-0.921843	-0.947291	0.781425	40.582256	0.125629	106.879738
2021-05-21	13:43:39	0	12500000000	12500000000	-112.386778	407.913001	-0.917279	-0.941555	0.758730	40.582229	0.122494	107.283743
2021-05-21	13:43:39	0	12600000000	12600000000	-112.386770	410.898674	-0.927264	-0.936431	0.738574	40.582203	0.119307	107.683744
2021-05-21	13:43:39	0	12700000000	12700000000	-112.386762	413.895465	-0.936128	-0.932556	0.744513	40.582176	0.115509	108.083735
2021-05-21	13:43:39	0	12800000000	12800000000	-112.386753	416.903368	-0.937758	-0.929344	0.763960	40.582150	0.112296	108.483736
2021-05-21	13:43:39	0	12900000000	12900000000	-112.386742	419.922382	-0.926337	-0.927993	0.773000	40.582124	0.109110	108.883739
2021-05-21	13:43:39	0	13000000000	13000000000	-112.386731	422.952508	-0.909237	-0.927942	0.773438	40.582098	0.106535	109.283741
2021-05-21	13:43:39	0	13100000000	13100000000	-112.386718	425.993745	-0.911983	-0.929165	0.771348	40.582072	0.104598	109.683731
2021-05-21	13:43:39	0	13200000000	13200000000	-112.386705	429.045837	-0.938449	-0.931052	0.762479	40.582046	0.103297	110.083732
2021-05-21	13:43:39	0	13300000000	13300000000	-112.386690	432.108014	-0.949835	-0.933576	0.756768	40.582021	0.102635	110.387732
2021-05-21	13:43:39	0	13400000000	13400000000	-112.386675	435.180053	-0.924759	-0.936125	0.763358	40.581996	0.102609	110.783731
2021-05-21	13:43:39	0	13500000000	13500000000	-112.386658	438.262709	-0.907852	-0.936839	0.764232	40.581971	0.102609	111.183732
2021-05-21	13:43:39	0	13600000000	13600000000	-112.386641	441.355442	-0.940256	-0.933805	0.751369	40.581946	0.102609	111.487730
2021-05-21	13:43:39	0	13700000000	13700000000	-112.386622	444.458038	-0.989686	-0.926335	0.748200	40.581922	0.102609	111.883731
2021-05-21	13:43:39	0	13800000000	13800000000	-112.386603	447.571250	-1.002829	-0.915017	0.762743	40.581898	0.103221	112.283732
2021-05-21	13:43:39	0	13900000000	13900000000	-112.386582	450.694283	-0.966933	-0.900486	0.772997	40.581874	0.103246	112.587730
2021-05-21	13:43:39	0	14000000000	14000000000	-112.386561	453.826152	-0.901972	-0.883380	0.770472	40.581851	0.103858	112.887726
2021-05-21	13:43:39	0	14100000000	14100000000	-112.386538	456.967645	-0.847779	-0.863725	0.765379	40.581828	0.105107	113.283725
2021-05-21	13:43:39	0	14200000000	14200000000	-112.386515	460.119746	-0.840286	-0.842744	0.756305	40.581806	0.106382	113.683728
2021-05-21	13:43:39	0	14300000000	14300000000	-112.386491	463.282180	-0.869547	-0.818654	0.742299	40.581783	0.108269	113.987726
2021-05-21	13:43:39	0	14400000000	14400000000	-112.386466	466.455503	-0.887945	-0.789541	0.741165	40.581762	0.111404	114.479717
2021-05-21	13:43:39	0	14500000000	14500000000	-112.386441	469.640947	-0.860210	-0.752270	0.759445	40.581740	0.115203	114.883721
2021-05-21	13:43:39	0	14600000000	14600000000	-112.386415	472.837734	-0.794246	-0.707938	0.777579	40.581719	0.117191	115.283724
2021-05-21	13:43:39	0	14700000000	14700000000	-112.386388	476.045640	-0.728254	-0.654760	0.780742	40.581698	0.116656	115.683725
2021-05-21	13:43:39	0	14800000000	14800000000	-112.386361	479.264912	-0.683821	-0.604896	0.772410	40.581678	0.117242	116.083716
2021-05-21	13:43:39	0	14900000000	14900000000	-112.386333	482.496323	-0.650276	-0.568033	0.760815	40.581658	0.119715	116.579709
