"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"GPS Speed"
2021-05-22	08:32:58	0	4000000000	4000000000	-112.384358	144.633561	0.029636	0.669485	40.583168	0.090309	0.001313	137.439677
2021-05-22	08:32:58	0	4100000000	4100000000	-112.384403	148.456647	0.026258	0.692615	40.583168	0.088397	0.012180	137.829660
2021-05-22	08:32:58	0	4200000000	4200000000	-112.384449	152.288899	0.021032	0.739162	40.583168	0.086676	0.012000	138.119673
2021-05-22	08:32:58	0	4300000000	4300000000	-112.384494	156.128929	0.014531	0.748735	40.583168	0.086740	-0.003149	138.339663
2021-05-22	08:32:58	0	4400000000	4400000000	-112.384540	159.977220	0.006883	0.707261	40.583168	0.087441	-0.018459	138.729646
2021-05-22	08:32:58	0	4500000000	4500000000	-112.384586	163.834816	-0.000828	0.667922	40.583168	0.088843	-0.026145	139.029653
2021-05-22	08:32:58	0	4600000000	4600000000	-112.384631	167.700951	-0.009050	0.659423	40.583168	0.091711	-0.030492	139.329661
2021-05-22	08:32:58	0	4700000000	4700000000	-112.384677	171.575764	-0.016634	0.668314	40.583167	0.097574	-0.036927	139.639664
2021-05-22	08:32:58	0	4800000000	4800000000	-112.384723	175.460014	-0.023581	0.686878	40.583167	0.104840	-0.045689	140.029647
2021-05-22	08:32:58	0	4900000000	4900000000	-112.384770	179.354094	-0.029827	0.707629	40.583167	0.114336	-0.055593	140.339661
2021-05-22	08:32:58	0	5000000000	5000000000	-112.384816	183.257779	-0.034606	0.706943	40.583167	0.122302	-0.070061	140.729644
2021-05-22	08:32:58	0	5100000000	5100000000	-112.384862	187.171252	-0.036327	0.679860	40.583166	0.120410	-0.084889	141.035657
2021-05-22	08:32:58	0	5200000000	5200000000	-112.384909	191.094253	-0.036213	0.656920	40.583166	0.104374	-0.081567	141.426659
2021-05-22	08:32:58	0	5300000000	5300000000	-112.384955	195.026476	-0.034881	0.667927	40.583166	0.072986	-0.057190	141.717653
2021-05-22	08:32:58	0	5400000000	5400000000	-112.385002	198.967004	-0.033026	0.697034	40.583165	0.024633	-0.037160	141.953655
2021-05-22	08:32:58	0	5500000000	5500000000	-112.385049	202.915745	-0.031866	0.688744	40.583165	-0.047340	-0.034297	142.472646
2021-05-22	08:32:58	0	5600000000	5600000000	-112.385095	206.867093	-0.031866	0.607148	40.583164	-0.105744	-0.035119	142.163651
2021-05-22	08:32:58	0	5700000000	5700000000	-112.385141	210.809497	-0.031981	0.469334	40.583164	-0.162001	-0.036366	141.745661
2021-05-22	08:32:58	0	5800000000	5800000000	-112.385187	214.737037	-0.033255	0.303619	40.583163	-0.220399	-0.052621	141.118646
2021-05-22	08:32:58	0	5900000000	5900000000	-112.385233	218.644129	-0.034530	0.128314	40.583163	-0.282799	-0.085951	140.227659
2021-05-22	08:32:58	0	6000000000	6000000000	-112.385278	222.525264	-0.036149	-0.020379	40.583162	-0.348118	-0.121503	139.355655
2021-05-22	08:32:58	0	6100000000	6100000000	-112.385323	226.371708	-0.041362	-0.104103	40.583162	-0.448471	-0.145435	137.737670
2021-05-22	08:32:58	0	6200000000	6200000000	-112.385366	230.171142	-0.047793	-0.118971	40.583161	-0.544312	-0.150763	135.910673
2021-05-22	08:32:58	0	6300000000	6300000000	-112.385410	233.915710	-0.054861	-0.091580	40.583161	-0.628451	-0.145146	133.792669
2021-05-22	08:32:58	0	6400000000	6400000000	-112.385452	237.596934	-0.062623	-0.060719	40.583160	-0.697135	-0.150665	131.420674
2021-05-22	08:32:58	0	6500000000	6500000000	-112.385493	241.205539	-0.071405	-0.055879	40.583159	-0.735496	-0.174545	128.399687
2021-05-22	08:32:58	0	6600000000	6600000000	-112.385534	244.738077	-0.079793	-0.089777	40.583159	-0.741945	-0.200967	125.891700
2021-05-22	08:32:58	0	6700000000	6700000000	-112.385573	248.199109	-0.089505	-0.150426	40.583158	-0.725808	-0.215725	123.299692
