"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"Throttle Position"	"Longitudinal Acceleration"	"GPS Distance"	"GPS Lateral Acceleration"	"Heading"	"Latitude"	"Lateral Acceleration"	"RPM"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Number of Satellites"
2021-05-22	19:25:00	1	3000000000	1993567991	-112.383278	0.000000	0.060000	106.388298	0.000000	268.900000	40.583150	0.050000	0.000000	0.141723	131.700000	17.000000
2021-05-22	19:25:00	1	3100000000	2093567991	-112.383321	0.000000	0.080000	110.049740	-0.032651	268.900000	40.583150	0.040000	0.000000	0.070862	132.000000	17.000000
2021-05-22	19:25:00	1	3200000000	2193567991	-112.383365	0.000000	0.060000	113.719251	0.032700	268.800000	40.583149	0.010000	0.000000	0.070862	132.200000	17.000000
2021-05-22	19:25:00	1	3300000000	2293567991	-112.383408	0.000000	0.060000	117.396103	0.098323	269.000000	40.583149	0.000000	0.000000	0.099206	132.500000	17.000000
2021-05-22	19:25:00	1	3400000000	2393567991	-112.383453	0.000000	0.050000	121.082148	0.032873	269.100000	40.583148	-0.010000	0.000000	0.099206	132.900000	17.000000
2021-05-22	19:25:00	1	3500000000	2493567991	-112.383497	0.000000	0.060000	124.778048	0.032948	269.100000	40.583147	0.010000	0.000000	0.099206	133.200000	17.000000
2021-05-22	19:25:00	1	3600000000	2593567991	-112.383541	0.000000	0.070000	128.483008	0.033046	269.200000	40.583147	-0.010000	0.000000	0.070862	133.600000	17.000000
2021-05-22	19:25:00	1	3700000000	2693567991	-112.383585	0.000000	0.060000	132.195177	0.033071	269.200000	40.583147	-0.020000	0.000000	0.042517	133.700000	17.000000
2021-05-22	19:25:00	1	3800000000	2793567991	-112.383629	0.000000	0.050000	135.911514	0.066241	269.300000	40.583146	-0.030000	0.000000	0.028345	133.900000	17.000000
2021-05-22	19:25:00	1	3900000000	2893567991	-112.383673	0.000000	0.050000	139.629239	0.066241	269.400000	40.583146	-0.030000	0.000000	-0.070862	133.900000	17.000000
2021-05-22	19:25:00	1	4000000000	2993567991	-112.383717	0.000000	-0.010000	143.341276	0.032997	269.500000	40.583146	-0.010000	0.000000	-0.113379	133.400000	17.000000
2021-05-22	19:25:00	1	4100000000	3093567991	-112.383761	0.000000	-0.040000	147.042268	0.032923	269.500000	40.583145	-0.010000	0.000000	-0.127551	133.100000	17.000000
2021-05-22	19:25:00	1	4200000000	3193567991	-112.383804	0.000000	-0.090000	150.731355	0.065549	269.600000	40.583145	-0.020000	0.000000	-0.127551	132.500000	17.000000
