"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Throttle Position"	"Longitude"	"Lateral Acceleration"	"RPM"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Heading"	"Number of Satellites"
2021-05-21	21:47:00	1	3100000000	2094834802	0.000000	-112.382806	0.050000	0.000000	44.658000	0.000000	0.120000	40.583221	0.311791	56.800000	263.000000	16.000000
2021-05-21	21:47:00	1	3200000000	2194834802	0.000000	-112.382825	0.050000	0.000000	46.250023	0.028644	0.160000	40.583220	0.255102	57.900000	262.700000	16.000000
2021-05-21	21:47:00	1	3300000000	2294834802	0.000000	-112.382844	0.020000	0.000000	47.868900	0.014495	0.200000	40.583218	0.283447	58.600000	263.200000	16.000000
2021-05-21	21:47:00	1	3400000000	2394834802	0.000000	-112.382863	0.000000	0.000000	49.514628	-0.074083	0.210000	40.583216	0.297619	59.900000	262.800000	16.000000
2021-05-21	21:47:00	1	3500000000	2494834802	0.000000	-112.382883	-0.010000	0.000000	51.189725	-0.030029	0.230000	40.583214	0.283447	60.700000	262.700000	16.000000
2021-05-21	21:47:00	1	3600000000	2594834802	0.000000	-112.382903	-0.010000	0.000000	52.891205	0.061245	0.240000	40.583212	0.226757	61.900000	262.600000	16.000000
2021-05-21	21:47:00	1	3700000000	2694834802	0.000000	-112.382923	-0.020000	0.000000	54.615698	0.138691	0.230000	40.583210	0.170068	62.300000	263.100000	16.000000
2021-05-21	21:47:00	1	3800000000	2794834802	0.000000	-112.382944	-0.030000	0.000000	56.358977	0.078040	0.240000	40.583208	0.269274	63.100000	263.500000	16.000000
2021-05-21	21:47:00	1	3900000000	2894834802	0.000000	-112.382964	-0.060000	0.000000	58.127660	0.063521	0.240000	40.583206	0.311791	64.200000	263.600000	16.000000
2021-05-21	21:47:00	1	4000000000	2994834802	0.000000	-112.382986	-0.060000	0.000000	59.925776	0.064609	0.250000	40.583205	0.283447	65.300000	263.900000	16.000000
2021-05-21	21:47:00	1	4100000000	3094834802	0.000000	-112.383007	-0.080000	0.000000	61.751801	0.065499	0.250000	40.583203	0.255102	66.200000	264.000000	16.000000
2021-05-21	21:47:00	1	4200000000	3194834802	0.000000	-112.383029	-0.090000	0.000000	63.602955	0.066390	0.250000	40.583201	0.240930	67.100000	264.300000	16.000000
2021-05-21	21:47:00	1	4300000000	3294834802	0.000000	-112.383051	-0.110000	0.000000	65.478052	0.016795	0.250000	40.583199	0.240930	67.900000	264.400000	16.000000
2021-05-21	21:47:00	1	4400000000	3394834802	0.000000	-112.383073	-0.140000	0.000000	67.377424	0.051054	0.270000	40.583198	0.283447	68.800000	264.400000	16.000000
2021-05-21	21:47:00	1	4500000000	3494834802	0.000000	-112.383096	-0.130000	0.000000	69.303452	0.103740	0.270000	40.583196	0.269274	69.900000	264.700000	16.000000
2021-05-21	21:47:00	1	4600000000	3594834802	0.000000	-112.383119	-0.130000	0.000000	71.255934	0.052464	0.260000	40.583194	0.240930	70.700000	265.000000	16.000000
2021-05-21	21:47:00	1	4700000000	3694834802	0.000000	-112.383142	-0.120000	0.000000	73.232555	0.035421	0.260000	40.583193	0.255102	71.600000	265.000000	16.000000
2021-05-21	21:47:00	1	4800000000	3794834802	0.000000	-112.383165	-0.110000	0.000000	75.234511	0.107599	0.280000	40.583191	0.283447	72.500000	265.200000	16.000000
2021-05-21	21:47:00	1	4900000000	3894834802	0.000000	-112.383189	-0.140000	0.000000	77.262788	0.127437	0.270000	40.583190	0.240930	73.600000	265.600000	16.000000
2021-05-21	21:47:00	1	5000000000	3994834802	0.000000	-112.383213	-0.150000	0.000000	79.315667	0.073415	0.270000	40.583188	0.226757	74.200000	265.900000	16.000000
2021-05-21	21:47:00	1	5100000000	4094834802	0.000000	-112.383237	-0.170000	0.000000	81.392562	0.018601	0.190000	40.583187	0.340136	75.200000	266.000000	16.000000
2021-05-21	21:47:00	1	5200000000	4194834802	0.000000	-112.383262	-0.180000	0.000000	83.499351	0.000000	0.200000	40.583185	0.269274	76.600000	266.000000	16.000000
2021-05-21	21:47:00	1	5300000000	4294834802	0.000000	-112.383288	-0.150000	0.000000	85.634182	0.057213	0.240000	40.583184	0.240930	77.100000	266.000000	16.000000
2021-05-21	21:47:00	1	5400000000	4394834802	0.000000	-112.383313	-0.120000	0.000000	87.792619	0.000000	0.220000	40.583183	0.269274	78.300000	266.300000	16.000000
2021-05-21	21:47:00	1	5500000000	4494834802	0.000000	-112.383339	-0.100000	0.000000	89.977983	-0.039082	0.230000	40.583181	0.283447	79.000000	266.000000	16.000000
