"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"GPS Longitudinal Acceleration"	"Throttle Position"	"Latitude"	"GPS Lateral Acceleration"	"RPM"	"Longitudinal Acceleration"	"Lateral Acceleration"	"Longitude"	"GPS Distance"	"Heading"	"Number of Satellites"	"GPS Speed"
2021-05-21	16:41:00	0	3100000000	3100000000	0.141723	0.000000	40.583253	0.063323	0.000000	0.270000	0.080000	-112.382847	48.567314	263.900000	19.000000	64.000000
2021-05-21	16:41:00	0	3200000000	3200000000	0.170068	0.000000	40.583251	-0.111680	0.000000	0.260000	0.080000	-112.382868	50.352104	263.700000	19.000000	64.500000
2021-05-21	16:41:00	0	3300000000	3300000000	0.198413	0.000000	40.583249	-0.080637	0.000000	0.250000	0.070000	-112.382890	52.153336	263.200000	19.000000	65.200000
2021-05-21	16:41:00	0	3400000000	3400000000	0.155896	0.000000	40.583248	0.016301	0.000000	0.240000	0.020000	-112.382911	53.972673	263.200000	19.000000	65.900000
2021-05-21	16:41:00	0	3500000000	3500000000	0.113379	0.000000	40.583246	0.065598	0.000000	0.230000	-0.030000	-112.382932	55.807703	263.300000	19.000000	66.300000
2021-05-21	16:41:00	0	3600000000	3600000000	0.085034	0.000000	40.583244	0.082493	0.000000	0.200000	-0.040000	-112.382954	57.654107	263.600000	19.000000	66.700000
2021-05-21	16:41:00	0	3700000000	3700000000	0.099206	0.000000	40.583242	0.066192	0.000000	0.190000	-0.050000	-112.382976	59.509935	263.800000	20.000000	66.900000
2021-05-21	16:41:00	0	3800000000	3800000000	0.155896	0.000000	40.583240	0.066687	0.000000	0.190000	-0.060000	-112.382998	61.376278	264.000000	20.000000	67.400000
2021-05-21	16:41:00	0	3900000000	3900000000	0.127551	0.000000	40.583238	0.084100	0.000000	0.180000	-0.080000	-112.383021	63.256196	264.200000	20.000000	68.000000
2021-05-21	16:41:00	0	4000000000	4000000000	0.085034	0.000000	40.583236	0.084471	0.000000	0.160000	-0.100000	-112.383042	65.148382	264.500000	20.000000	68.300000
2021-05-21	16:41:00	0	4100000000	4100000000	0.099206	0.000000	40.583235	0.067874	0.000000	0.150000	-0.100000	-112.383065	67.050130	264.700000	20.000000	68.600000
2021-05-21	16:41:00	0	4200000000	4200000000	0.113379	0.000000	40.583233	0.085337	0.000000	0.140000	-0.100000	-112.383088	68.961701	264.900000	20.000000	69.000000
2021-05-21	16:41:00	0	4300000000	4300000000	0.099206	0.000000	40.583231	0.102998	0.000000	0.130000	-0.100000	-112.383111	70.883859	265.200000	20.000000	69.400000
2021-05-21	16:41:00	0	4400000000	4400000000	0.056689	0.000000	40.583230	0.086203	0.000000	0.130000	-0.090000	-112.383134	72.815157	265.500000	19.000000	69.700000
2021-05-21	16:41:00	0	4500000000	4500000000	0.042517	0.000000	40.583229	0.069061	0.000000	0.130000	-0.100000	-112.383156	74.752384	265.700000	20.000000	69.800000
2021-05-21	16:41:00	0	4600000000	4600000000	0.070862	0.000000	40.583227	0.051944	0.000000	0.140000	-0.100000	-112.383179	76.694815	265.900000	20.000000	70.000000
2021-05-21	16:41:00	0	4700000000	4700000000	0.127551	0.000000	40.583226	0.052167	0.000000	0.160000	-0.090000	-112.383202	78.644820	266.000000	20.000000	70.300000
2021-05-21	16:41:00	0	4800000000	4800000000	0.170068	0.000000	40.583225	0.052612	0.000000	0.170000	-0.070000	-112.383225	80.607630	266.200000	20.000000	70.900000
2021-05-21	16:41:00	0	4900000000	4900000000	0.141723	0.000000	40.583223	-0.017686	0.000000	0.210000	-0.050000	-112.383248	82.586684	266.300000	20.000000	71.500000
2021-05-21	16:41:00	0	5000000000	5000000000	0.155896	0.000000	40.583222	-0.035570	0.000000	0.230000	-0.030000	-112.383272	84.576363	266.100000	20.000000	71.900000
2021-05-21	16:41:00	0	5100000000	5100000000	0.269274	0.000000	40.583221	0.035916	0.000000	0.230000	-0.030000	-112.383296	86.584773	266.100000	20.000000	72.600000
2021-05-21	16:41:00	0	5200000000	5200000000	0.311791	0.000000	40.583220	0.073019	0.000000	0.240000	-0.040000	-112.383320	88.617521	266.300000	20.000000	73.800000
2021-05-21	16:41:00	0	5300000000	5300000000	0.269274	0.000000	40.583219	0.074008	0.000000	0.270000	-0.050000	-112.383344	90.679697	266.500000	20.000000	74.800000
2021-05-21	16:41:00	0	5400000000	5400000000	0.240930	0.000000	40.583218	0.018725	0.000000	0.290000	-0.070000	-112.383369	92.768740	266.700000	20.000000	75.700000
2021-05-21	16:41:00	0	5500000000	5500000000	0.255102	0.000000	40.583216	0.000000	0.000000	0.310000	-0.080000	-112.383394	94.882505	266.600000	20.000000	76.500000
2021-05-21	16:41:00	0	5600000000	5600000000	0.311791	0.000000	40.583215	0.076680	0.000000	0.320000	-0.080000	-112.383419	97.022139	266.700000	20.000000	77.500000
2021-05-21	16:41:00	0	5700000000	5700000000	0.297619	0.000000	40.583214	0.155734	0.000000	0.310000	-0.090000	-112.383445	99.190912	267.000000	20.000000	78.700000
2021-05-21	16:41:00	0	5800000000	5800000000	0.240930	0.000000	40.583213	0.137826	0.000000	0.290000	-0.110000	-112.383471	101.388228	267.500000	20.000000	79.600000
2021-05-21	16:41:00	0	5900000000	5900000000	0.226757	0.000000	40.583212	0.059662	0.000000	0.270000	-0.130000	-112.383497	103.610167	267.700000	20.000000	80.400000
2021-05-21	16:41:00	0	6000000000	6000000000	0.226757	0.000000	40.583212	0.040170	0.000000	0.250000	-0.130000	-112.383524	105.854745	267.800000	20.000000	81.200000
2021-05-21	16:41:00	0	6100000000	6100000000	0.240930	0.000000	40.583211	0.040566	0.000000	0.240000	-0.130000	-112.383550	108.121951	267.900000	20.000000	82.000000
2021-05-21	16:41:00	0	6200000000	6200000000	0.240930	0.000000	40.583210	0.020506	0.000000	0.240000	-0.120000	-112.383577	110.412674	268.000000	19.000000	82.900000
2021-05-21	16:41:00	0	6300000000	6300000000	0.240930	0.000000	40.583209	0.000000	0.000000	0.260000	-0.100000	-112.383605	112.727021	268.000000	19.000000	83.700000
2021-05-21	16:41:00	0	6400000000	6400000000	0.240930	0.000000	40.583209	0.000000	0.000000	0.270000	-0.080000	-112.383633	115.065251	268.000000	20.000000	84.600000
2021-05-21	16:41:00	0	6500000000	6500000000	0.226757	0.000000	40.583208	0.063372	0.000000	0.270000	-0.070000	-112.383660	117.426783	268.000000	20.000000	85.400000
2021-05-21	16:41:00	0	6600000000	6600000000	0.226757	0.000000	40.583207	0.085288	0.000000	0.280000	-0.060000	-112.383689	119.810967	268.300000	20.000000	86.200000
2021-05-21	16:41:00	0	6700000000	6700000000	0.212585	0.000000	40.583206	0.000000	0.000000	0.280000	-0.070000	-112.383718	122.217249	268.400000	20.000000	87.000000
2021-05-21	16:41:00	0	6800000000	6800000000	0.226757	0.000000	40.583206	0.000000	0.000000	0.260000	-0.080000	-112.383746	124.647729	268.300000	20.000000	87.700000
2021-05-21	16:41:00	0	6900000000	6900000000	0.226757	0.000000	40.583205	0.000000	0.000000	0.250000	-0.080000	-112.383775	127.093438	268.400000	20.000000	88.600000
2021-05-21	16:41:00	0	7000000000	7000000000	0.155896	0.000000	40.583204	-0.044177	0.000000	0.260000	-0.080000	-112.383805	129.561986	268.300000	20.000000	89.300000
2021-05-21	16:41:00	0	7100000000	7100000000	0.141723	0.000000	40.583204	-0.044375	0.000000	0.290000	-0.050000	-112.383835	132.047529	268.200000	19.000000	89.700000
2021-05-21	16:41:00	0	7200000000	7200000000	0.184240	0.000000	40.583203	-0.067008	0.000000	0.280000	-0.030000	-112.383864	134.547788	268.100000	20.000000	90.300000
2021-05-21	16:41:00	0	7300000000	7300000000	0.155896	0.000000	40.583202	-0.090037	0.000000	0.250000	-0.020000	-112.383894	137.064621	267.900000	20.000000	91.000000
2021-05-21	16:41:00	0	7400000000	7400000000	0.113379	0.000000	40.583201	-0.022608	0.000000	0.240000	0.000000	-112.383924	139.596877	267.700000	20.000000	91.400000
2021-05-21	16:41:00	0	7500000000	7500000000	0.070862	0.000000	40.583200	0.045414	0.000000	0.230000	0.010000	-112.383954	142.140201	267.800000	20.000000	91.800000
2021-05-21	16:41:00	0	7600000000	7600000000	0.000000	0.000000	40.583199	-0.022732	0.000000	0.180000	0.000000	-112.383984	144.690091	267.900000	20.000000	91.900000
2021-05-21	16:41:00	0	7700000000	7700000000	-0.014172	0.000000	40.583198	-0.068121	0.000000	0.120000	-0.030000	-112.384014	147.241221	267.700000	20.000000	91.800000
2021-05-21	16:41:00	0	7800000000	7800000000	-0.014172	0.000000	40.583197	-0.022707	0.000000	0.090000	-0.010000	-112.384044	149.791218	267.600000	20.000000	91.800000
2021-05-21	16:41:00	0	7900000000	7900000000	-0.028345	0.000000	40.583196	0.022682	0.000000	0.090000	0.030000	-112.384074	152.339520	267.600000	19.000000	91.700000
2021-05-21	16:41:00	0	8000000000	8000000000	-0.028345	0.000000	40.583195	0.022658	0.000000	0.080000	0.050000	-112.384104	154.885329	267.700000	19.000000	91.600000
2021-05-21	16:41:00	0	8100000000	8100000000	-0.028345	0.000000	40.583194	-0.022633	0.000000	0.060000	0.050000	-112.384134	157.428345	267.700000	19.000000	91.500000
2021-05-21	16:41:00	0	8200000000	8200000000	-0.056689	0.000000	40.583193	-0.022608	0.000000	0.040000	0.040000	-112.384164	159.968014	267.600000	19.000000	91.400000
2021-05-21	16:41:00	0	8300000000	8300000000	-0.070862	0.000000	40.583192	0.000000	0.000000	-0.010000	0.030000	-112.384194	162.502180	267.600000	19.000000	91.100000
2021-05-21	16:41:00	0	8400000000	8400000000	-0.042517	0.000000	40.583191	-0.022484	0.000000	-0.030000	0.040000	-112.384223	165.030362	267.600000	19.000000	90.900000
2021-05-21	16:41:00	0	8500000000	8500000000	-0.028345	0.000000	40.583190	-0.022460	0.000000	0.010000	0.060000	-112.384253	167.554185	267.500000	19.000000	90.800000
2021-05-21	16:41:00	0	8600000000	8600000000	-0.042517	0.000000	40.583189	-0.044870	0.000000	0.020000	0.070000	-112.384283	170.074656	267.500000	19.000000	90.700000
2021-05-21	16:41:00	0	8700000000	8700000000	-0.070862	0.000000	40.583188	-0.067157	0.000000	0.000000	0.070000	-112.384312	172.590516	267.300000	19.000000	90.500000
2021-05-21	16:41:00	0	8800000000	8800000000	-0.042517	0.000000	40.583186	0.000000	0.000000	0.010000	0.070000	-112.384341	175.100105	267.200000	19.000000	90.200000
2021-05-21	16:41:00	0	8900000000	8900000000	-0.042517	0.000000	40.583185	0.044623	0.000000	0.000000	0.050000	-112.384371	177.606198	267.300000	19.000000	90.200000
2021-05-21	16:41:00	0	9000000000	9000000000	-0.070862	0.000000	40.583184	0.044474	0.000000	0.000000	0.050000	-112.384400	180.107508	267.400000	19.000000	89.900000
2021-05-21	16:41:00	0	9100000000	9100000000	-0.028345	0.000000	40.583183	0.044375	0.000000	0.010000	0.040000	-112.384429	182.603032	267.500000	19.000000	89.700000
2021-05-21	16:41:00	0	9200000000	9200000000	-0.014172	0.000000	40.583182	0.044375	0.000000	-0.010000	0.040000	-112.384459	185.094913	267.600000	19.000000	89.700000
2021-05-21	16:41:00	0	9300000000	9300000000	-0.070862	0.000000	40.583181	0.044326	0.000000	-0.010000	0.030000	-112.384488	187.584065	267.700000	19.000000	89.600000
2021-05-21	16:41:00	0	9400000000	9400000000	-0.127551	0.000000	40.583180	0.044128	0.000000	-0.010000	0.020000	-112.384517	190.066489	267.800000	19.000000	89.200000
2021-05-21	16:41:00	0	9500000000	9500000000	-0.099206	0.000000	40.583180	0.043881	0.000000	-0.030000	0.030000	-112.384546	192.538166	267.900000	19.000000	88.700000
2021-05-21	16:41:00	0	9600000000	9600000000	0.042517	0.000000	40.583179	0.043782	0.000000	-0.030000	0.030000	-112.384575	195.002315	268.000000	19.000000	88.500000
2021-05-21	16:41:00	0	9700000000	9700000000	0.155896	0.000000	40.583178	0.022015	0.000000	0.010000	0.020000	-112.384604	197.469882	268.100000	19.000000	89.000000
2021-05-21	16:41:00	0	9800000000	9800000000	0.099206	0.000000	40.583178	0.000000	0.000000	0.050000	0.010000	-112.384634	199.949275	268.100000	19.000000	89.600000
